Marca da Bike;Modelo da Bike;Tipo da bicicleta;Valor
Domane;Domane SL 6 3ª Geração;Estrada;R$ 35.999,00
Stumpjumper;Stumpjumper Alloy;Trilha;R$ 21.490,00
Endurance;GIANT DEFY ADVANCED PRO 1;Estrada;R$ 26.706,63
CANONDALE;CANNONDALE SYNAPSE CARBON DISC ULTEGRA;Estrada;R$ 26.999,00
MTB;GTS M1 FAT;Estrada;R$ 26.990,00
Bianchi;OLTRE XR4;Estrada;R$ 40.062,61
Canyon;Ultimate CF SLX 8 Force AXS;Estrada;R$ 32.407,94
Orbea Orca;M20ILTD Ultegra Di2 2023;Estrada;R$ 38.999,00
Scott; SCOTT ADDICT RC PRO;Estrada;R$ 38.500,00
Focus;Izalco max 2016;Estrada;R$ 27.000,00
Pinarello;DOGMA F12 DISK SRAM RED AXS ETAP;Estrada;R$ 151.200,00
BMC;Teammachine SLR Four;Estrada;R$ 49.294,55
Scott;Speedster Gravel 30;Estrada;R$ 16.559,91
Specialized;Crux (Gravel);Estrada;R$ 26.680,00
Cannondale;Cannondale SuperSix EVO;Estrada;R$ 26.000,00
Giant;Propel;Estrada;R$ 11.039,08
Sense ; Impact Race;Estrada;R$ 10.990,00
Redstone;Gravel Shimano Redstone Fusion 14v;Fixa;R$ 5.190,00
RAIDER;Raider Z3X Pro 12v;Passeio;R$ 1.899,00
GT;Avalanche Elite 29 XLE;Montanha;R$ 4.499,00
Black Orange;Stone Elite Carbon 105;Estrada;R$ 7.580,00
Merida;Scultura 400;Speed;R$ 6.472,80
Kona;Big Honzo 2023;Fat Bike;R$ 15.000
Legion;‎M41200U20OS-PC;BMX;R$ 3.000,00
VTEC;BICICLETA GTSM1;Estrada;R$ 2.024,10
KRW;S61;Passeio;R$ 1.259,10
KRW;S99 ;Passeio;R$ 1.574,10
KRW;Traction SX47;Passeio;R$ 1.979,10
KRW;Ultraparty SX48;Passeio;R$ 1.979,10
KRW;S90;Passeio;R$ 1.979,10
Caloi;E-VIBE CITY TOUR;Eletrica;R$ 6.990,00
Caloi;E-VIBE ELITE;Eletrica;R$ 25.959,00
Caloi;E-VIBE ELITE FS;Eletrica;R$ 32.299,00
Caloi;E-VIBE ELITE FS PRO;Eletrica;R$ 43.999,00
Caloi;E-VIBE URBAM;Eletrica;R$ 8.199,00
Caloi;Caloi 10;Estrada;R$ 1.999,00
Caloi;Strada;Estrada;R$ 5.399,00
Caloi;Strada Racing;Estrada;R$ 8.399,00
Caloi;Atacama F;Montanha;R$ 3.799,00
Caloi;Atacama Flex;Montanha;R$ 3.399,00
Caloi;Atacama M;Montanha;R$ 3.799,00
Caloi;Caloi 29;Montanha;R$ 2.869,00
Caloi;Caloi 29 Flex;Montanha;R$ 2.669,00
Caloi;Explorer 10;Montanha;R$ 1.999,00
Caloi;Explorer Comp;Montanha;R$ 3.299,00
Caloi;Explorer Comp - 2023;Montanha;R$ 3.299,00
Caloi;Explorer Expert;Montanha;R$ 5.999,00
Caloi;Explorer Expert - 2023;Montanha;R$ 5.999,00
Caloi;Explorer Sport;Montanha;R$ 2.499,00
Caloi;MOAB;Montanha;R$ 4.899,00
Caloi;MOAB Flex;Montanha;R$ 4.399,00
Caloi;Mojave;Montanha;R$ 3.499,00
Caloi;Two Niner Pro;Montanha;R$ 2.869,00
Caloi;Vulcan;Montanha;R$ 1.799,00
Caloi;Vulcan HDS;Montanha;R$ 2.099,00
Caloi;Caloi 400 F;Urbana;R$ 1.649,00
Caloi;Caloi 400 M;Urbana;R$ 1.649,00
Caloi;Caloi 700;Urbana;R$ 2.169,00
Caloi;Caloi Rainbow;Urbana;R$ 2.199,00
Caloi;CECI 26;Urbana;R$ 2.099,00
Caloi;City Tour Comp;Urbana;R$ 4.699,00
Caloi;City Tour Sport;Urbana;R$ 3.299,00
Caloi;Easy Rider;Urbana;R$ 2.369,00
Caloi;Urbam;Urbana;R$ 2.199,00
Oggi;Cadenza 500 Disc 2021;Speed;17.890,00
Oggi;Stimolla Disc 2021;Speed;R$ 7.749,00
Oggi;Cadenza 700;Speed;R$ 21.990,00
Oggi;Velloce Disc 2022;Speed;R$ 3.949,00
Oggi;Float Sport;Urbana;R$ 1.999,00
Soul Cycles;VOLCANO CUMBRE VIEJA XX T-TYPE AXS KASHIMA CARBON;Montanha;R$ 53.991,00
Soul Cycles;VOLCANO CUMBRE VIEJA GX AXS SID 110MM;Montanha;R$ 26.991,00
Audax;Ventus 3000;Speed;R$ 19.999,00
Audax;Ventus Passo;Speed;R$ 59.999,00
Audax;Ventus 2000 tiagra;Speed;R$ 8.999,00
Audax;Auge 30 GX;MTB;R$ 26.900,00
Audax;Auge 40 XTR;MTB;R$ 45.000,00
Audax;Auge 50 AXS;MTB;R$ 52.999,00
Audax;Auge 555 1x12;MTB;R$ 12.900,00
Audax;Auge 600 Slx;MTB;R$ 16.000,00
Audax;ADX 200;MTB;R$ 5.699,00
Audax;ADX 300;MTB;R$ 6.599,00
Audax;ADX 400;MTB;R$ 8.900,00
Audax;Havok SX;MTB;R$ 2.499,00
Audax;Havok TX;MTB;R$ 2.999,00
Audax;Havok NX;MTB;R$ 3.499,00
Sense Bike;Criterium Factory 2022;Estrada;R$ 11.990,00
Sense Bike;Criterium Race 2022;Estrada;R$ 7.990,00
Sense Bike;Criterium Comp 2022;Estrada;R$ 5.990,00
Sense Bike;Impulse 2023;Urbana;R$ 11.490,00
Sense Bike;Breeze 2023;Urbana;R$ 9.490,00
Sense Bike;Easy 2023;Urbana;R$ 8.490,00
Sense BIke;Activ 2023;Urbana;R$ 3.890,00
Sense Bike;Move Urban 2023;Urbana;R$ 2.590,00
Sense Bike;Move Fitness 2023;Urbana;R$ 2.590,00
Sense Bike;E-trail Black Edition;MTB;R$ 99.990,00
Sense Bike;Invictus Carbon Factory Team 2023;MTB;R$ 65.990,00
Sense Bike;Exalt E-trail Factory 2023;MTB;R$ 89.990,00
Sense Bike;Exalt E-trail EVO 2023;MTB;R$ 62.990,00
Sense Bike;Exalt Lt Factory 2023;MTB;R$ 53.990,00
Sense Bike;Exal E-trail Comp 2023;MTB;R$ 49.990,00
Sense Bike;Invictus Factory 2023;MTB;R$ 52.990,00
Sense Bike;Impact Carbon Factory Team 2023;MTB;R$ 49.990,00
Sense Bike;Exalt LT EVO 2023;MTB;R$ 39.990,00
Sense Bike;Impulse E-trail EVO 2023;MTB;R$ 40.990,00
